N° Euro Palets;N° Normal Palets;Products;Reference;Customer;Destination;Comment;Gross weight (kg);Price (EUR);Price BCN (EUR);Unit;Reloading/plt;Transport BCN/plt;Albarán N°;Car n.;Loading date;Loading place;Order number;Transport company;Plate number;Transport price;Arrival date;Invoice N°;Invoice amount;Payment date;Open invoices;Paid invoices
2;;SPAR CRO 001;KOPFSALAT;KOPFSALAT;SPAR CRO 001;WEDNESDAY MORNING;;;;;;;;;2019.08.31;LLERIDA;GHU 001;WINDBAHN;NCV 672 / WAM 672;€ 2 300;2019.09.04;;;; -   € ;   
16;;SPAR CRO;CASAS ROYES;CASAS ROYES;SPAR CRO;WEDNESDAY MORNING;;;;;;;;;2019.08.31;LLERIDA;GHU 001;WINDBAHN;NCV 672 / WAM 672;€ 2 300;2019.09.04;;;; -   € ;   
4;;SPAR CRO;AGESCO;AGESCO;SPAR CRO;WEDNESDAY MORNING;;;;;;;;;2019.08.31;LLERIDA;GHU 001;WINDBAHN;NCV 672 / WAM 672;€ 2 300;2019.09.04;;;; -   € ;   
7;;SPAR HU;GRUPO NATURAL;GRUPO NATURAL;SPAR HU;WEDNESDAY NIGHT;;;;;;;;;2019.08.31;LLERIDA;GHU 001;WINDBAHN;NCV 672 / WAM 672;€ 2 300;2019.09.04;;;; -   € ;   
1;;FRAMBUESA;FRESSAN;GHU;ALDI;216#;nettó 324;€ 8,25;;KG;;;;;2019.08.31;LLERIDA;GHU 001;WINDBAHN;NCV 672 / WAM 672;€ 2 300;2019.09.04;;;; -   € ;   
;2;APRICOT;KOPFSALAT;GHU;;;;;;;;;;;2019.08.31;LLERIDA;GHU 001;WINDBAHN;NCV 672 / WAM 672;€ 2 300;2019.09.04;;;; -   € ;   
5;;PEAR;FRUBALMED;GHU;ALDI;;;€ 0,82;;KG;;;146/AL19;;2019.09.02;LLERIDA;H001;KUONI;MGU 904 / XWF 658;€ 2 200;2019.09.05;;;; -   € ;   
24;;PARAGUAYO;FRUBALMED;GHU;ALDI;;;€ 0,75;;KG;;;146/AL19;;2019.09.02;LLERIDA;H001;KUONI;MGU 904 / XWF 658;€ 2 200;2019.09.05;;;; -   € ;   
;1;NECTARINA;FRUBALMED;GHU;ZSOLTI;;;€ 0,45;;KG;;;146/AL19;;2019.09.02;LLERIDA;H001;KUONI;MGU 904 / XWF 658;€ 2 200;2019.09.05;;;; -   € ;   
;2;NECTARINA;FRUBALMED;GHU;;;;;;;;;146/AL19;;2019.09.02;LLERIDA;H001;KUONI;MGU 904 / XWF 658;€ 2 200;2019.09.05;;;; -   € ;   
3;;SPAR CRO 002;KOPFSALAT;KOPFSALAT;SPAR CRO 002;FRIDAY MORNING;;;;;;;;;2019.09.03;LLERIDA;GHU 002;KUONI;NUX 982 / WCW 983;€ 2 400;2019.09.06;;;; -   € ;   
16;;SPAR CRO;CASAS ROYES;CASAS ROYES;SPAR CRO;ALDI;;;;;;;;;2019.09.03;LLERIDA;GHU 002;KUONI;NUX 982 / WCW 983;€ 2 400;2019.09.06;;;; -   € ;   
3;;SPAR CRO;AGESCO;AGESCO;SPAR CRO;FRIDAY MORNING;;;;;;;;;2019.09.03;LLERIDA;GHU 002;KUONI;NUX 982 / WCW 983;€ 2 400;2019.09.06;;;; -   € ;   
2;;FRAMBUESA;FRESSAN;GHU;ALDI;;;€ 8,25;;KG;;;;;2019.09.03;LLERIDA;GHU 002;KUONI;NUX 982 / WCW 983;€ 2 400;2019.09.06;;;; -   € ;   
;2;GARLIC 200GR;GALLARDO;GHU;ALDI;;;€ 0,55;;KG;€ 8,50;;;;2019.09.03;LLERIDA;GHU 002;KUONI;NUX 982 / WCW 983;€ 2 400;2019.09.06;;;; -   € ;   
;2;APRICOT;KOPFSALAT;GHU;;;;;;;;;;;2019.09.03;LLERIDA;GHU 002;KUONI;NUX 982 / WCW 983;€ 2 400;2019.09.06;;;; -   € ;   
;1;PARAGUAYO;KOPFSALAT;GHU;;;;;;;;;;;2019.09.03;LLERIDA;GHU 002;KUONI;NUX 982 / WCW 983;€ 2 400;2019.09.06;;;; -   € ;   
2;;POMEGRANATE;FRUBALMED;GHU;ALDI;;;€ 1,90;;KG;€ 8,50;€ 35,00;;;2019.09.03;LLERIDA;GHU 002;KUONI;NUX 982 / WCW 983;€ 2 400;2019.09.06;;;; -   € ;   
3;;SPAR HU 001;KOPFSALAT;KOPFSALAT;SPAR HU 001;MONDAY NIGHT;;;;;;;;;2019.09.05;LLERIDA;GHU 003;KUONI;NBA 324 / XZM 785;€ 2 400;2019.09.08;;;; -   € ;   
3;;SPAR HU 002;KOPFSALAT;KOPFSALAT;SPAR HU 002;MONDAY NIGHT;;;;;;;;;2019.09.05;LLERIDA;GHU 003;KUONI;NBA 324 / XZM 785;€ 2 400;2019.09.08;;;; -   € ;   
6;;SPAR HU;AGESCO;AGESCO;SPAR HU;MONDAY NIGHT;;;;;;;;;2019.09.05;LLERIDA;GHU 003;KUONI;NBA 324 / XZM 785;€ 2 400;2019.09.08;;;; -   € ;   
;2;GARLIC 200GR;GALLARDO;GHU;ALDI;;;€ 0,55;;KG;€ 8,50;;;;2019.09.05;LLERIDA;GHU 003;KUONI;NBA 324 / XZM 785;€ 2 400;2019.09.08;;;; -   € ;   
2;;POMEGRANATE;FRUBALMED;GHU;ALDI;;;€ 1,90;;KG;€ 8,50;€ 35,00;;;2019.09.05;LLERIDA;GHU 003;KUONI;NBA 324 / XZM 785;€ 2 400;2019.09.08;;;; -   € ;   
;3;TOM. CHERRY;HORTICHUELAS;SZENTESI;;;;;;;;;;;2019.09.05;LLERIDA;GHU 003;KUONI;NBA 324 / XZM 785;€ 2 400;2019.09.08;;;; -   € ;   
;6;PEAR;KOPFSALAT;GHU;ALDI;;;;;;;;;;2019.09.05;LLERIDA;GHU 003;KUONI;NBA 324 / XZM 785;€ 2 400;2019.09.08;;;; -   € ;   
;4;PARAGUAYO;KOPFSALAT;GHU;ALDI;;;;;;;;;;2019.09.05;LLERIDA;GHU 003;KUONI;NBA 324 / XZM 785;€ 2 400;2019.09.08;;;; -   € ;   
31;;SPAR HU;CASAS ROYES;CASAS ROYES;SPAR HU;MONDAY NIGHT;;;;;;;;;2019.09.05;LLERIDA;H002;VASKÓ;PHX 343 / WAF 683;€ 2 300;2019.09.09;;;; -   € ;   
1;;SPAR CRO 003;KOPFSALAT;KOPFSALAT;SPAR CRO 003;MONDAY MORNING;;;;;;;;;2019.09.05;LLERIDA;H002;VASKÓ;PHX 343 / WAF 683;€ 2 300;2019.09.09;;;; -   € ;   
1;;FRAMBUESA;FRESSAN;GHU;ALDI;;;€ 8,25;;KG;;;;;2019.09.05;LLERIDA;H002;VASKÓ;PHX 343 / WAF 683;€ 2 300;2019.09.09;;;; -   € ;   
10;;SPAR SLO;GRUPO NATURAL;GRUPO NATURAL;SPAR SLO;MONDAY MORNING;;;;;;;;;2019.09.06;BARCELONA;GHU 004;WINDBAHN;NSE 946 / WBG 946;€ 900;2019.09.09;;;; -   € ;   
;1;POMEGRANATE;KOPFSALAT;GHU;GHUSZ/GHUBU;;;;;;;;;;2019.09.06;BARCELONA;GHU 004;WINDBAHN;NSE 946 / WBG 946;€ 900;2019.09.09;;;; -   € ;   
;1;PEAR;KOPFSALAT;GHU;GHUSZ/GHUBU;;;;;;;;;;2019.09.06;BARCELONA;GHU 004;WINDBAHN;NSE 946 / WBG 946;€ 900;2019.09.09;;;; -   € ;   
;0,1;FRAMBUESA 125GR;FRESSAN;GHU;ALDI;27 caja;;;;;;;;;2019.09.06;BARCELONA;GHU 004;WINDBAHN;NSE 946 / WBG 946;€ 900;2019.09.09;;;; -   € ;   
21;;POMEGRANATE;FRUBALMED;GHU;ALDI;;;€ 6,50;;CAJA;;;;;2019.09.06;VALENCIA;GHU 005;WINDBAHN;MJF 505 / XYJ 196;€ 2 600;2019.09.10;;;; -   € ;   
5;;PARAGUAYO;FRUBALMED;GHU;ALDI;;;€ 0,75;;KG;;;;;2019.09.06;VALENCIA;GHU 005;WINDBAHN;MJF 505 / XYJ 196;€ 2 600;2019.09.10;;;; -   € ;   
3;;PERA LIMONERA;FRUBALMED;GHU;ALDI;;;€ 0,80;;KG;;;;;2019.09.06;VALENCIA;GHU 005;WINDBAHN;MJF 505 / XYJ 196;€ 2 600;2019.09.10;;;; -   € ;   
;3;PARAGUAYO;KOPFSALAT;GHU;ALDI;;;€ 0,70;;KG;;;;;2019.09.06;VALENCIA;GHU 005;WINDBAHN;MJF 505 / XYJ 196;€ 2 600;2019.09.10;;;; -   € ;   
29;;SPAR HU;CASAS ROYES;CASAS ROYES;SPAR HU;WEDNESDAY NIGHT;;;;;;;;;2019.09.07;LLERIDA;H003;KUONI;MGE 491 / XZJ 157;€ 2 400;2019.09.11;;;; -   € ;   
1;;SPAR CRO 004;KOPFSALAT;KOPFSALAT;SPAR CRO 004;WEDNESDAY MORNING;;;;;;;;;2019.09.07;LLERIDA;H003;KUONI;MGE 491 / XZJ 157;€ 2 400;2019.09.11;;;; -   € ;   
1;;FRAMBUESA;FRESSAN;GHU;ALDI;;;€ 8,25;;KG;;;;;2019.09.07;LLERIDA;H003;KUONI;MGE 491 / XZJ 157;€ 2 400;2019.09.11;;;; -   € ;   
1;;LEMON 15KG;AXARFRUIT;GHU;ALDI;;;;;;;;;;2019.09.07;LLERIDA;H003;KUONI;MGE 491 / XZJ 157;€ 2 400;2019.09.11;;;; -   € ;   
3;;SPAR HU 003;KOPFSALAT;KOPFSALAT;SPAR HU 003;WEDNESDAY NIGHT;;;;;;;;;2019.09.07;LLERIDA;H004;KES-SEC;MME 300 / XWX 039;€ 2 000;2019.09.11;;;; -   € ;   
4;;SPAR HU 004;KOPFSALAT;KOPFSALAT;SPAR HU 004;WEDNESDAY NIGHT;;;;;;;;;2019.09.07;LLERIDA;H004;KES-SEC;MME 300 / XWX 039;€ 2 000;2019.09.11;;;; -   € ;   
6;;SPAR HU;AGESCO;AGESCO;SPAR HU;WEDNESDAY NIGHT;;;;;;;;;2019.09.07;LLERIDA;H004;KES-SEC;MME 300 / XWX 039;€ 2 000;2019.09.11;;;; -   € ;   
;13;CASAS ROYES - SPAR SLO;CASAS ROYES;CASAS ROYES;SPAR SLO;WEDNESDAY MORNING;;;;;;;;;2019.09.07;LLERIDA;H004;KES-SEC;MME 300 / XWX 039;€ 2 000;2019.09.11;;;; -   € ;   
2;;SPAR HU;GRUPO NATURAL;GRUPO NATURAL;SPAR HU;WEDNESDAY NIGHT;;;;;;;;;2019.09.07;LLERIDA;H004;KES-SEC;MME 300 / XWX 039;€ 2 000;2019.09.11;;;; -   € ;   
1;;LEMON 15KG;AXARFRUIT;GHU;ALDI;;;;;;;;;;2019.09.07;LLERIDA;H004;KES-SEC;MME 300 / XWX 039;€ 2 000;2019.09.11;;;; -   € ;   
;0,25;FRAMBUESA 125GR;FRESSAN;GHU;ALDI;50#;;€ 8,25;;KG;;;;;2019.09.07;LLERIDA;H004;KES-SEC;MME 300 / XWX 039;€ 2 000;2019.09.11;;;; -   € ;   
9;;POMEGRANATE;FRUBALMED;GHU;ALDI;;;€ 6,50;;CAJA;;;;;2019.09.09;TARRAGONA;GHU 006;VASKÓ;PFZ 913 / XXN 627;€ 2 300;2019.09.12;;;; -   € ;   
5;;PERA LIMONERA;FRUBALMED;GHU;ALDI;;;€ 0,80;;KG;;;;;2019.09.09;TARRAGONA;GHU 006;VASKÓ;PFZ 913 / XXN 627;€ 2 300;2019.09.12;;;; -   € ;   
;3;PARAGUAYO;KOPFSALAT;GHU;ALDI;;;€ 0,70;;KG;;;;;2019.09.09;TARRAGONA;GHU 006;VASKÓ;PFZ 913 / XXN 627;€ 2 300;2019.09.12;;;; -   € ;   
;3;PERA LIMONERA;KOPFSALAT;GHU;ALDI;;;€ 0,70;;KG;;;;;2019.09.09;TARRAGONA;GHU 006;VASKÓ;PFZ 913 / XXN 627;€ 2 300;2019.09.12;;;; -   € ;   
;2;POMEGRANATE;KOPFSALAT;GHU;;;;;;;;;;;2019.09.09;TARRAGONA;GHU 006;VASKÓ;PFZ 913 / XXN 627;€ 2 300;2019.09.12;;;; -   € ;   
;2;GARLIC 200GR;GALLARDO;GHU;ALDI;;;€ 0,55;;PZS;;;;;2019.09.09;TARRAGONA;GHU 006;VASKÓ;PFZ 913 / XXN 627;€ 2 300;2019.09.12;;;; -   € ;   
5;;LEMON 10KG;AXARFRUIT;GHU;ALDI;;;€ 1,10;;KG;;;;;2019.09.09;TARRAGONA;GHU 006;VASKÓ;PFZ 913 / XXN 627;€ 2 300;2019.09.12;;;; -   € ;   
1;;SPAR CRO 005;KOPFSALAT;KOPFSALAT;SPAR CRO 005;FRIDAY MORNING - VEEMEE;;;;;;;;;2019.09.09;TARRAGONA;GHU 006;VASKÓ;PFZ 913 / XXN 627;€ 2 300;2019.09.12;;;; -   € ;   
;12;CASAS ROYES - SPAR SLO;CASAS ROYES;CASAS ROYES;SPAR SLO;FRIDAY MORNING;;;;;;;;;2019.09.10;LLERIDA;GHU 007;KUONI;NCC 646 / WCW 983;€ 2 400;2019.09.13;;;; -   € ;   
1;0,4;FRAMBUESA 125GR;FRESSAN;GHU;ALDI;80#;;€ 8,25;;KG;;;;;2019.09.10;LLERIDA;GHU 007;KUONI;NCC 646 / WCW 983;€ 2 400;2019.09.13;;;; -   € ;   
;3;PARAGUAYO STD.;FRUBALMED;GHU;ALDI;;;€ 0,50;;KG;;;;;2019.09.10;LLERIDA;GHU 007;KUONI;NCC 646 / WCW 983;€ 2 400;2019.09.13;;;; -   € ;   
;2;NECTARINA 1 LAYER;FRUBALMED;GHU;GHUBU/GHUSZ;;;€ 0,55;;KG;;;;;2019.09.10;LLERIDA;GHU 007;KUONI;NCC 646 / WCW 983;€ 2 400;2019.09.13;;;; -   € ;   
;2;NECTARINA 10 KG;FRUBALMED;GHU;GHUBU/GHUSZ/MAXX;;;€ 0,50;;KG;;;;;2019.09.10;LLERIDA;GHU 007;KUONI;NCC 646 / WCW 983;€ 2 400;2019.09.13;;;; -   € ;   
;1;LEMON 10KG;KOPFSALAT;GHU;GHUSZ;;;;;;;;;;2019.09.10;LLERIDA;GHU 007;KUONI;NCC 646 / WCW 983;€ 2 400;2019.09.13;;;; -   € ;   
1;;LEMON 10KG;AXARFRUIT;GHU;ALDI;;;;;;;;;;2019.09.10;LLERIDA;GHU 007;KUONI;NCC 646 / WCW 983;€ 2 400;2019.09.13;;;; -   € ;   
;1;ORANGE;KOPFSALAT;GHU;GHUSZ;;;;;;;;;;2019.09.10;LLERIDA;GHU 007;KUONI;NCC 646 / WCW 983;€ 2 400;2019.09.13;;;; -   € ;   
;1;PERA LIMONERA;KOPFSALAT;GHU;ALDI;;;;;;;;;;2019.09.10;LLERIDA;GHU 007;KUONI;NCC 646 / WCW 983;€ 2 400;2019.09.13;;;; -   € ;   
;2;LEMON 15KG;KOPFSALAT;GHU;ALDI;;;;;;;;;;2019.09.10;LLERIDA;GHU 007;KUONI;NCC 646 / WCW 983;€ 2 400;2019.09.13;;;; -   € ;   
4;;SPAR HU 005;KOPFSALAT;KOPFSALAT;SPAR HU 005;MONDAY NIGHT;;;;;;;;;2019.09.12;LLERIDA;GHU 008;WINDBAHN;NAE 721 / WBG 942;€ 2 300;2019.09.15;;;; -   € ;   
4;;SPAR HU 006;KOPFSALAT;KOPFSALAT;SPAR HU 006;MONDAY NIGHT;;;;;;;;;2019.09.12;LLERIDA;GHU 008;WINDBAHN;NAE 721 / WBG 942;€ 2 300;2019.09.15;;;; -   € ;   
3;;SPAR HU;GRUPO NATURAL;GRUPO NATURAL;SPAR HU;MONDAY NIGHT;;;;;;;;;2019.09.12;LLERIDA;GHU 008;WINDBAHN;NAE 721 / WBG 942;€ 2 300;2019.09.15;;;; -   € ;   
;2;TOM. CHERRY;HORTICHUELAS;SZENTESI;;;;;;;;;;;2019.09.12;LLERIDA;GHU 008;WINDBAHN;NAE 721 / WBG 942;€ 2 300;2019.09.15;;;; -   € ;   
;2;PEACH RED 1 LAYER;FRUBALMED;GHU;PARTNERLOG;;;;;;;;;;2019.09.12;LLERIDA;GHU 008;WINDBAHN;NAE 721 / WBG 942;€ 2 300;2019.09.15;;;; -   € ;   
1;0,4;FRAMBUESA 125GR;FRESSAN;GHU;ALDI;80#;;€ 8,50;;KG;;;;;2019.09.12;LLERIDA;GHU 008;WINDBAHN;NAE 721 / WBG 942;€ 2 300;2019.09.15;;;; -   € ;   
;1;LEMON 15KG;KOPFSALAT;GHU;;;;;;;;;;;2019.09.12;LLERIDA;GHU 008;WINDBAHN;NAE 721 / WBG 942;€ 2 300;2019.09.15;;;; -   € ;   
;4;GARLIC;KOPFSALAT;GHU;ALDI;;;;;;;;;;2019.09.12;LLERIDA;GHU 008;WINDBAHN;NAE 721 / WBG 942;€ 2 300;2019.09.15;;;; -   € ;   
;4;PERA LIMONERA;KOPFSALAT;GHU;;;;;;;;;;;2019.09.12;LLERIDA;GHU 008;WINDBAHN;NAE 721 / WBG 942;€ 2 300;2019.09.15;;;; -   € ;   
;1;GRAPE RED;KOPFSALAT;GHU;;;;;;;;;;;2019.09.12;LLERIDA;GHU 008;WINDBAHN;NAE 721 / WBG 942;€ 2 300;2019.09.15;;;; -   € ;   
;2;CAPSICUM PAERMO ;KOPFSALAT;GHU;;;;;;;;;;;2019.09.12;LLERIDA;GHU 008;WINDBAHN;NAE 721 / WBG 942;€ 2 300;2019.09.15;;;; -   € ;   
23;;SPAR HU;CASAS ROYES;CASAS ROYES;SPAR HU;MONDAY NIGHT;;;;;;;;;2019.09.12;LLERIDA;H005;KES-SEC;RMA 867 / XZP 710;€ 2 000;2019.09.14;;;; -   € ;   
5;;PERA LIMONERA;FRUBALMED;GHU;ALDI;;;;;;;;;;2019.09.12;LLERIDA;H005;KES-SEC;RMA 867 / XZP 710;€ 2 000;2019.09.14;;;; -   € ;   
;4;PEACH RED 1 LAYER;FRUBALMED;GHU;PARTNERLOG;;;;;;;;;;2019.09.12;LLERIDA;H005;KES-SEC;RMA 867 / XZP 710;€ 2 000;2019.09.14;;;; -   € ;   
15;;SPAR HU;CASAS ROYES;CASAS ROYES;SPAR HU;MONDAY NIGHT;;;;;;;;;2019.09.12;LLERIDA;LOG001;KUONI;NUX 983 / WBZ 417;€ 2 400;2019.09.16;;;; -   € ;   
;11;CASAS ROYES - SPAR SLO;CASAS ROYES;CASAS ROYES;SPAR SLO;MONDAY MORNING;;;;;;;;;2019.09.12;LLERIDA;LOG001;KUONI;NUX 983 / WBZ 417;€ 2 400;2019.09.16;;;; -   € ;   
4;;SPAR CRO 006;KOPFSALAT;KOPFSALAT;SPAR CRO 006;MONDAY MORNING;;;;;;;;;2019.09.12;LLERIDA;LOG001;KUONI;NUX 983 / WBZ 417;€ 2 400;2019.09.16;;;; -   € ;   
15;;SPAR HU BICSKE;CASAS ROYES;CASAS ROYES;SPAR HU;WEDNESDAY NIGHT;;;;;;;;;2019.09.14;LLERIDA;H006;KUONI;NOS 886 / XVK 366;€ 2 400;2019.09.18;;;; -   € ;   
3;;SPAR HU;GRUPO NATURAL;GRUPO NATURAL;SPAR HU;WEDNESDAY NIGHT;;;;;;;;;2019.09.14;LLERIDA;H006;KUONI;NOS 886 / XVK 366;€ 2 400;2019.09.18;;;; -   € ;   
;11;CASAS ROYES - SPAR SLO;CASAS ROYES;CASAS ROYES;SPAR SLO;WEDNESDAY MORNING;;;;;;;;;2019.09.14;LLERIDA;H006;KUONI;NOS 886 / XVK 366;€ 2 400;2019.09.18;;;; -   € ;   
1;;FRAMBUESA 125GR;FRESSAN;GHU;ALDI;;;€ 8,50;;KG;;;;;2019.09.14;LLERIDA;H006;KUONI;NOS 886 / XVK 366;€ 2 400;2019.09.18;;;; -   € ;   
23;;SPAR HU ÜLLŐ;CASAS ROYES;CASAS ROYES;SPAR HU;WEDNESDAY NIGHT;;;;;;;;;2019.09.14;LLERIDA;H007;KES-SEC;NTS 871 / XZR 598;€ 2 000;2019.09.18;;;; -   € ;   
4;;SPAR HU 007 BICSKE;KOPFSALAT;KOPFSALAT;SPAR HU 007;WEDNESDAY NIGHT;;;;;;;;;2019.09.14;LLERIDA;H007;KES-SEC;NTS 871 / XZR 598;€ 2 000;2019.09.18;;;; -   € ;   
3,5;;SPAR CRO 007;KOPFSALAT;KOPFSALAT;SPAR CRO 007;WEDNESDAY MORNING;;;;;;;;;2019.09.14;LLERIDA;H007;KES-SEC;NTS 871 / XZR 598;€ 2 000;2019.09.18;;;; -   € ;   
2,5;;LEMON;AXARFRUIT;GHU;ALDI;;;€ 1,03;;KG;;;;;2019.09.14;LLERIDA;H007;KES-SEC;NTS 871 / XZR 598;€ 2 000;2019.09.18;;;; -   € ;   
4;;SPAR HU 008;KOPFSALAT;KOPFSALAT;SPAR HU 008;WEDNESDAY NIGHT;2010;;;;;;;;2019.09.16;BARCELONA;GHU 009;DÓRI;LAR 519 / JL 671;€ 2 200;2019.09.18;;;; -   € ;   
;1;GARLIC;KOPFSALAT;GHU;ALDI;;1000;;;;;;;;2019.09.16;BARCELONA;GHU 009;DÓRI;LAR 519 / JL 671;€ 2 200;2019.09.18;;;; -   € ;   
;7;PERA LIMONERA;KOPFSALAT;GHU;ALDI;;5635;;;;;;;;2019.09.16;BARCELONA;GHU 009;DÓRI;LAR 519 / JL 671;€ 2 200;2019.09.18;;;; -   € ;   
2;;LEMON;AXARFRUIT;GHU;ALDI;;1760;€ 1,03;;KG;;;;;2019.09.16;BARCELONA;GHU 009;DÓRI;LAR 519 / JL 671;€ 2 200;2019.09.18;;;; -   € ;   
;2;NECTARINA 10KG;KOPFSALAT;GHU;GHUSZ/GHUBU/MAXX;;1900;;;;;;;;2019.09.16;BARCELONA;GHU 009;DÓRI;LAR 519 / JL 671;€ 2 200;2019.09.18;;;; -   € ;   
;1;PERA LIMONERA;KOPFSALAT;GHU;GHUSZ/GHUBU;;900;;;;;;;;2019.09.16;BARCELONA;GHU 009;DÓRI;LAR 519 / JL 671;€ 2 200;2019.09.18;;;; -   € ;   
;2;LEMON 10KG;KOPFSALAT;GHU;ALDI/GHUSZ;;2200;;;;;;;;2019.09.16;BARCELONA;GHU 009;DÓRI;LAR 519 / JL 671;€ 2 200;2019.09.18;;;; -   € ;   
;3;LEMON 10KG;KOPFSALAT;GHU;ALDI;;3300;;;;;;;;2019.09.16;BARCELONA;GHU 009;DÓRI;LAR 519 / JL 671;€ 2 200;2019.09.18;;;; -   € ;   
;0,5;FRAMBUESA 125GR;FRESSAN;GHU;ALDI;94#;;€ 8,25;;KG;;;;;2019.09.16;BARCELONA;GHU 009;DÓRI;LAR 519 / JL 671;€ 2 200;2019.09.18;;;; -   € ;   
;4;BILEK LEVI;BILEK LEVI;BILEK LEVI;BILEK LEVI;;4400;;;;;;;;2019.09.16;BARCELONA;GHU 009;DÓRI;LAR 519 / JL 671;€ 2 200;2019.09.18;;;; -   € ;   
13;;SPAR HU BICSKE;CASAS ROYES;CASAS ROYES;SPAR HU;FRIDAY NIGHT;;;;;;;;;2019.09.17;LLERIDA;H008;KUONI;MGE 491 / XZJ 157;€ 2 400;2019.09.20;;;; -   € ;   
;11;CASAS ROYES - SPAR SLO;CASAS ROYES;CASAS ROYES;SPAR SLO;FRIDAY MORNING;;;;;;;;;2019.09.17;LLERIDA;H008;KUONI;MGE 491 / XZJ 157;€ 2 400;2019.09.20;;;; -   € ;   
5;;PEAR LIMONERA;FRUBALMED;GHU;ALDI;;;€ 0,77;;KG;;;;;2019.09.17;LLERIDA;H008;KUONI;MGE 491 / XZJ 157;€ 2 400;2019.09.20;;;; -   € ;   
1;;FRAMBUESA 125GR;FRESSAN;GHU;ALDI;;;€ 8,50;;KG;;;;;2019.09.17;LLERIDA;H008;KUONI;MGE 491 / XZJ 157;€ 2 400;2019.09.20;;;; -   € ;   
20;;SPAR HU ÜLLŐ;CASAS ROYES;CASAS ROYES;SPAR HU;FRIDAY NIGHT;;;;;;;;;2019.09.17;LLERIDA;H009;VASKÓ;PBD 433 / XYV 054;€ 2 400;2019.09.20;;;; -   € ;   
3,5;;SPAR CRO 008;KOPFSALAT;KOPFSALAT;SPAR CRO 008;FRIDAY MORNING;;;;;;;;;2019.09.17;LLERIDA;H009;VASKÓ;PBD 433 / XYV 054;€ 2 400;2019.09.20;;;; -   € ;   
1,1;;FRAMBUESA 125GR;FRESSAN;GHU;ALDI;130#;;€ 8,25;;KG;;;;;2019.09.17;LLERIDA;H009;VASKÓ;PBD 433 / XYV 054;€ 2 400;2019.09.20;;;; -   € ;   
;2;TOM. CHERRY;HORTICHUELAS;SZENTESI;;;;;;;;;;;2019.09.17;LLERIDA;H009;VASKÓ;PBD 433 / XYV 054;€ 2 400;2019.09.20;;;; -   € ;   
5,5;;LEMON;AXARFRUIT;GHU;ALDI;;;€ 1,03;;KG;;;;;2019.09.17;LLERIDA;H009;VASKÓ;PBD 433 / XYV 054;€ 2 400;2019.09.20;;;; -   € ;   
7;;SPAR HU 010;KOPFSALAT;KOPFSALAT;SPAR HU 010;MONDAY NIGHT;;;;;;;;;2019.09.20;BARCELONA;GHU 010;VASKÓ;PMS 333 / XXN 642;€ 2 200;2019.09.22;;;; -   € ;   
;2;GARLIC 200GR;GALLARDO;GHU;ALDI;;;€ 0,59;; PZS ;;;;;2019.09.20;BARCELONA;GHU 010;VASKÓ;PMS 333 / XXN 642;€ 2 200;2019.09.22;;;; -   € ;   
;5;PEACH 1 LAYER;FRUBALMED;GHU;GHUSZ/GHUBU/MAXX;;;€ 0,48;; KG ;;;;;2019.09.20;BARCELONA;GHU 010;VASKÓ;PMS 333 / XXN 642;€ 2 200;2019.09.22;;;; -   € ;   
;3;NECTARINA 10KG;FRUBALMED;GHU;GHUSZ/GHUBU/MAXX;;;€ 0,50;; KG ;;;;;2019.09.20;BARCELONA;GHU 010;VASKÓ;PMS 333 / XXN 642;€ 2 200;2019.09.22;;;; -   € ;   
;2;NECTARINA 1 LAYER;FRUBALMED;GHU;GHUSZ/GHUBU/MAXX;;;€ 0,55;;KG;;;;;2019.09.20;BARCELONA;GHU 010;VASKÓ;PMS 333 / XXN 642;€ 2 200;2019.09.22;;;; -   € ;   
1;;FRAMBUESA 125GR;FRESSAN;GHU;ALDI;;;€ 8,50;; KG ;;;;;2019.09.20;BARCELONA;GHU 010;VASKÓ;PMS 333 / XXN 642;€ 2 200;2019.09.22;;;; -   € ;   
2;;LEMON;AXARFRUIT;GHU;ALDI;;;€ 1,03;; KG ;;;;;2019.09.20;BARCELONA;GHU 010;VASKÓ;PMS 333 / XXN 642;€ 2 200;2019.09.22;;;; -   € ;   
;2;TOM. CHERRY;HORTICHUELAS;SZENTESI;;;;;;;;;;;2019.09.20;BARCELONA;GHU 010;VASKÓ;PMS 333 / XXN 642;€ 2 200;2019.09.22;;;; -   € ;   
;1;PERA LIMONERA;KOPFSALAT;GHU;GHUSZ/GHUBU;;;;;;;;;;2019.09.20;BARCELONA;GHU 010;VASKÓ;PMS 333 / XXN 642;€ 2 200;2019.09.22;;;; -   € ;   
;1;LEMON;KOPFSALAT;GHU;GHUSZ/GHUBU;;;;;;;;;;2019.09.20;BARCELONA;GHU 010;VASKÓ;PMS 333 / XXN 642;€ 2 200;2019.09.22;;;; -   € ;   
;1;NECTARINA 10KG;KOPFSALAT;GHU;GHUSZ/GHUBU;;;;;;;;;;2019.09.20;BARCELONA;GHU 010;VASKÓ;PMS 333 / XXN 642;€ 2 200;2019.09.22;;;; -   € ;   
;1;PEACH RED;KOPFSALAT;GHU;GHUSZ/GHUBU;;;;;;;;;;2019.09.20;BARCELONA;GHU 010;VASKÓ;PMS 333 / XXN 642;€ 2 200;2019.09.22;;;; -   € ;   
