N° Euro Palets;N° Normal Palets;Products;Reference;Customer;Destination;Comment;Gross weight (kg);Price (EUR);Price BCN (EUR);Unit;Reloading/plt;Transport BCN/plt;Albarán N°;Car n.;Loading date;Loading place;Order number;Transport company;Plate number;Transport price;Arrival date;Invoice N°;Invoice amount;Payment date;Open invoices;Paid invoices;;;;;;;;;;;
4;;SPAR CRO;CASAS ROYES;CASAS ROYES;SPAR CRO;FRIDAY MORNING;VEEMEE;;;;;;;;2020.09.05;LERIDA;GHU 003;KÓNYA;RSJ 407 / WDA 628;€ 2 400;2020.09.09;;;; -   € ;   ;;;;;;;;;;;
1;;SPAR HU BICSKE ;CASAS ROYES;CASAS ROYES;SPAR HU BICSKE ;WEDNESDAY NIGHT; E20090744F65416 ;;;;;;;;2020.09.05;LERIDA;GHU 003;KÓNYA;RSJ 407 / WDA 628;€ 2 400;2020.09.09;;;; -   € ;   ;;;;;;;;;;;
2;;SPAR HU ÜLLŐ ;CASAS ROYES;CASAS ROYES;SPAR HU ÜLLŐ ;WEDNESDAY NIGHT;;;;;;;;;2020.09.05;LERIDA;GHU 003;KÓNYA;RSJ 407 / WDA 628;€ 2 400;2020.09.09;;;; -   € ;   ;;;;;;;;;;;
5;;SPAR HU BICSKE ;AGESCO;AGESCO;SPAR HU BICSKE ;WEDNESDAY NIGHT; E20090744F7E0A6 ;;;;;;;;2020.09.05;LERIDA;GHU 003;KÓNYA;RSJ 407 / WDA 628;€ 2 400;2020.09.09;;;; -   € ;   ;;;;;;;;;;;
5;;SPAR HU ÜLLŐ ;AGESCO;AGESCO;SPAR HU ÜLLŐ ;WEDNESDAY NIGHT;;;;;;;;;2020.09.05;LERIDA;GHU 003;KÓNYA;RSJ 407 / WDA 628;€ 2 400;2020.09.09;;;; -   € ;   ;;;;;;;;;;;
5;;TESCO HU 004;KOPFSALAT;KOPFSALAT;TESCO HU 004;WEDNESDAY; E20090744FAEAE1 ;;;;;;AGESCO 166;;2020.09.05;LERIDA;GHU 003;KÓNYA;RSJ 407 / WDA 628;€ 2 400;2020.09.09;;;; -   € ;   ;;;;;;;;;;;
5;;TESCO HU 005;KOPFSALAT;KOPFSALAT;TESCO HU 005;THURSDAY; E20090744FB0247 ;;;;;;KOPFSALAT;;2020.09.05;LERIDA;GHU 003;KÓNYA;RSJ 407 / WDA 628;€ 2 400;2020.09.09;;;; -   € ;   ;;;;;;;;;;;
;1;APRICOT;KOPFSALAT;GHU;ALDI;; E20090845087EE7 ;;;;;;;;2020.09.05;LERIDA;GHU 003;KÓNYA;RSJ 407 / WDA 628;€ 2 400;2020.09.09;;;; -   € ;   ;;;;;;;;;;;
;0;PADRON;KOPFSALAT;GHU;;4#;;;;;;;;;2020.09.05;LERIDA;GHU 003;KÓNYA;RSJ 407 / WDA 628;€ 2 400;2020.09.09;;;; -   € ;   ;;;;;;;;;;;
3;;SPAR CRO;CALIFORNIA;CALIFORNIA;SPAR CRO 2994;MONDAY MORNING;;;;;;;;;2020.09.05;NAPOLI;H001;KÓNYA;RRJ 470 / WDA 627;€ 1 800;2020.09.07;;;; -   € ;   ;;;;;;;;;;;
5;;SPAR CRO;CALIFORNIA;CALIFORNIA;SPAR CRO 2994;WEDNESDAY MORNING;;;;;€ 8,32; € 15,00 ;VEEMEE;;2020.09.05;NAPOLI;H001;KÓNYA;RRJ 470 / WDA 627;€ 1 800;2020.09.07;;;; -   € ;   ;;;;;;;;;;;
