N° Euro Palets;N° Normal Palets;Products;Reference;Customer;Destination;Comment;Gross weight (kg);Price (EUR);Price BCN (EUR);Unit;Reloading/plt;Transport BCN/plt;Albarán N°;Car n.;Loading date;Loading place;Order number;Transport company;Plate number;Transport price;Arrival date;Transport cost;Invoice amount;Payment date;Open invoices;Paid invoices
14;;CAPSICUM PALERMO 12*400 GR;GHU;WIEN;;;;€ 11,50;;CAJA;;;;;2022.09.01;FELSŐPAKONY;EX001;S.T.I;SUW 645 / WFL 038;€ 560;2022.09.02;-€ 560;;; -   € ;   
;1;BILEK;BILEK;BILEK;;;;;;;;;;;2022.09.01;LERIDA/BARCELONA;GHU 001;KÓNYA;TBT 653 / WFT 963;€ 2 350;2022.09.04;-€ 2 350;;; -   € ;   
5;;KAUFLAND ROMANIA;KOPFSALAT;KOPFSALAT;KAUFLAND ROMANIA;MONDAY;;;;;;;;;2022.09.01;LERIDA/BARCELONA;GHU 001;KÓNYA;TBT 653 / WFT 963;€ 2 350;2022.09.04;;;; -   € ;   
;10;PEAR;FRUBALMED;GHU;ALDI;THURSDAY UP LERIDA;;€ 0,85;;KG;€ 0,00; € -   ;FRU002-144/AL22;1;2022.09.01;LERIDA/BARCELONA;GHU 001;KÓNYA;TBT 653 / WFT 963;€ 2 350;2022.09.04;;;; -   € ;   
;3;PEAR;KOPFSALAT;GHU;ALDI;;;;;;;;;;2022.09.01;LERIDA/BARCELONA;GHU 001;KÓNYA;TBT 653 / WFT 963;€ 2 350;2022.09.04;;;; -   € ;   
;1;NECTARIN YELLOW 1 LAYER 4KG;KOPFSALAT;GHU;ALDI;;;;;;;;;;2022.09.01;LERIDA/BARCELONA;GHU 001;KÓNYA;TBT 653 / WFT 963;€ 2 350;2022.09.04;;;; -   € ;   
;2;NECTARIN YELLOW LOOSE;KOPFSALAT;GHU;ALDI;;;;;;;;;;2022.09.01;LERIDA/BARCELONA;GHU 001;KÓNYA;TBT 653 / WFT 963;€ 2 350;2022.09.04;;;; -   € ;   
;1;APRICOT;KOPFSALAT;GHU;ALDI;;;;;;;;;;2022.09.01;LERIDA/BARCELONA;GHU 001;KÓNYA;TBT 653 / WFT 963;€ 2 350;2022.09.04;;;; -   € ;   
5;;PARAGUAYO 5KG;FRUBALMED;GHU;ALDI;;;€ 1,25;;kg;€ 0,00; € -   ;FRU001-145/AL22;;2022.09.01;LERIDA;H002;KÓNYA;SFB 840 / WGB 783;€ 440;2022.09.04;-€ 440;;; -   € ;   
-;2;SPAR SLO;CASAS ROYES;CASAS ROYES;SPAR SLO;LOADED LERIDA;;;;;€ 33,00; € 27,00 ;DG69;;2022.09.01;LERIDA/BARCELONA;LOG001;SERGIO;SB 21 HRM / SB 02 HRM;€ 2 800;2022.09.05;-€ 3 000;;; -   € ;   
