N° Euro Palets;N° Normal Palets;Products;Reference;Customer;Destination;Comment;Gross weight (kg);Price (EUR);Price BCN (EUR);Unit;Reloading/plt;Transport BCN/plt;Albarán N°;Car n.;Loading date;Loading place;Order number;Transport company;Plate number;Transport price;Arrival date;Transport cost;Invoice amount;Payment date;Open invoices;Paid invoices
2;;SPAR SLO ;AGESCO;AGESCO;SPAR SLO; MONDAY MORNING ;;;;;€ 32,00; € 26,00 ;DG69;;2022.09.01;LERIDA/BARCELONA;LOG001;SERGIO;SB 21 HRM / SB 02 HRM;€ 2 800;2022.09.05;;;; -   € ;   
5;;SPAR SLO;GRUPO NATURAL;GRUPO NATURAL;SPAR SLO;MONDAY MORNING;;;;;€ 57,00; € 67,00 ;DG69;;2022.09.01;LERIDA/BARCELONA;LOG001;SERGIO;SB 21 HRM / SB 02 HRM;€ 2 800;2022.09.05;;;; -   € ;   
12;LERIDA;SPAR CRO ;CASAS ROYES;CASAS ROYES;SPAR CRO ;LOADED LERIDA;;;;;€ 0,00; € -   ;SPAR;;2022.09.01;LERIDA/BARCELONA;LOG001;SERGIO;SB 21 HRM / SB 02 HRM;€ 2 800;2022.09.05;;;; -   € ;   
1;;SPAR CRO;AGESCO;AGESCO;SPAR CRO;MONDAY MORNING;;;;;€ 0,00; € -   ;SPAR;;2022.09.01;LERIDA/BARCELONA;LOG001;SERGIO;SB 21 HRM / SB 02 HRM;€ 2 800;2022.09.05;;;; -   € ;   
1;;SPAR HU BICSKE V/ 3134;AGESCO;AGESCO;SPAR HU BICSKE V/ 3134;MONDAY NIGHT;;;;;;;;;2022.09.01;LERIDA/BARCELONA;LOG001;SERGIO;SB 21 HRM / SB 02 HRM;€ 2 800;2022.09.05;;;; -   € ;   
2;;SPAR HU ÜLLŐ V/ 3135;AGESCO;AGESCO;SPAR HU ÜLLŐ V/ 3135;MONDAY NIGHT;;;;;;;;;2022.09.01;LERIDA/BARCELONA;LOG001;SERGIO;SB 21 HRM / SB 02 HRM;€ 2 800;2022.09.05;;;; -   € ;   
3;;SPAR HU BICSKE V/ 3136;AGESCO;AGESCO;SPAR HU BICSKE V/ 3136;MONDAY NIGHT;;;;;;;;;2022.09.01;LERIDA/BARCELONA;LOG001;SERGIO;SB 21 HRM / SB 02 HRM;€ 2 800;2022.09.05;;;; -   € ;   
3;;SPAR HU ÜLLŐ V/ 3133;AGESCO;AGESCO;SPAR HU ÜLLŐ V/ 3133;MONDAY NIGHT;;;;;;;;;2022.09.01;LERIDA/BARCELONA;LOG001;SERGIO;SB 21 HRM / SB 02 HRM;€ 2 800;2022.09.05;;;; -   € ;   
23;;CAPSICUM PALERMO;KOPFSALAT;KOPFSALAT;KAUFLAND ROMÁNIA;;;;;;;;;;2022.09.02;POLAND;H003;POLAND;WR288FR / WGR1SW9;€ 0;2022.09.03;€ 0;;; -   € ;   
9;;TOMATO LONG LIFE 6KG;KOPFSALAT;GHU;;;;€ 0,30;;KG;;;;;2022.09.02;POLAND;H003;POLAND;WR288FR / WGR1SW9;€ 0;2022.09.03;;;; -   € ;   
1;;BLUEBERRY 4KG;KOPFSALAT;GHU;;;;€ 4,70;;KG;;;;;2022.09.02;POLAND;H003;POLAND;WR288FR / WGR1SW9;€ 0;2022.09.03;;;; -   € ;   
3;;CAPSICUM PALERMO 12*400GR;PREMIUMKERT;PREMIUMKERT;GHU;SUNDAY;;;;;;;;;2022.09.02;PRAHA;LOG002;KÓNYA;ZRT 001 / WCZ 433;€ 800;2022.09.03;-€ 800;;; -   € ;   
4;;FIG;EUROGROUP;EUROGROUP;PENNY HU;MONDAY;;;;;;;;;2022.09.02;PRAHA;LOG002;KÓNYA;ZRT 001 / WCZ 433;€ 800;2022.09.03;;;; -   € ;   
;5;PEAR 9KG;FRUBALMED;GHU;ALDI;PREMIUM;;€ 0,85;;KG;€ 10,00; € -   ;FRU003-146/AL22;1;2022.09.05;BARCELONA;GHU 002;KÓNYA;SFB 841 / WEH 572;€ 2 700;2022.09.07;-€ 2 900;;; -   € ;   
3;;NECTARIN 10*1KG;FRUBALMED;GHU;ALDI;PREMIUM;;€ 0,95;;PZS;€ 10,00; € -   ;FRU003-146/AL22;1;2022.09.05;BARCELONA;GHU 002;KÓNYA;SFB 841 / WEH 572;€ 2 700;2022.09.07;;;; -   € ;   
;6;CELERY 16*500GR;HISPA;GHU;ALDI;MONDAY UP BARCELONA;;;€ 0,54;PZS;€ 10,00; € -   ;HIS001-038/012300004;2;2022.09.05;BARCELONA;GHU 002;KÓNYA;SFB 841 / WEH 572;€ 2 700;2022.09.07;;;; -   € ;   
;2;NECTARIN 1 LAYER;KOPFSALAT;GHU;ALDI;;;;;;;;;;2022.09.05;BARCELONA;GHU 002;KÓNYA;SFB 841 / WEH 572;€ 2 700;2022.09.07;;;; -   € ;   
;2;PEAR;KOPFSALAT;GHU;ALDI;;;;;;;;;;2022.09.05;BARCELONA;GHU 002;KÓNYA;SFB 841 / WEH 572;€ 2 700;2022.09.07;;;; -   € ;   
;1;APRICOT LOOSE;KOPFSALAT;GHU;ALDI;;;;;;;;;;2022.09.05;BARCELONA;GHU 002;KÓNYA;SFB 841 / WEH 572;€ 2 700;2022.09.07;;;; -   € ;   
;;CAPSICUM PADRON 2#;KOPFSALAT;GHU;;;;;;;;;;;2022.09.05;BARCELONA;GHU 002;KÓNYA;SFB 841 / WEH 572;€ 2 700;2022.09.07;;;; -   € ;   
30;;TOMATO 6 KG;GAVA POLSKA;GHU;;;;€ 0,30;;KG;;;;;2022.09.03;POLAND;H004;POLSKA;PNT 82576 / PO 9YR38;€ 0;2022.09.04;€ 0;;; -   € ;   
0,5;;SPAR HU BICSKE 22-23-001;KOPFSALAT;KOPFSALAT;SPAR HU BICSKE 22-23-001;;;€ 1,00;;KG;;;;;2022.09.03;POLAND;H004;POLSKA;PNT 82576 / PO 9YR38;€ 0;2022.09.04;;;; -   € ;   
0,5;;SPAR HU ÜLLŐ 22-23-002;KOPFSALAT;KOPFSALAT;SPAR HU ÜLLŐ 22-23-002;;;;;;;;;;2022.09.03;POLAND;H004;POLSKA;PNT 82576 / PO 9YR38;€ 0;2022.09.04;;;; -   € ;
0,5;;SPAR HU BICSKE 22-23-003;KOPFSALAT;KOPFSALAT;SPAR HU BICSKE 22-23-003;;;;;;;;;;2022.09.03;POLAND;H004;POLSKA;PNT 82576 / PO 9YR38;€ 0;2022.09.04;;;; -   € ;
1,5;;SPAR HU ÜLLŐ 22-23-004;KOPFSALAT;KOPFSALAT;SPAR HU ÜLLŐ 22-23-004;;;;;;;;;;2022.09.03;POLAND;H004;POLSKA;PNT 82576 / PO 9YR38;€ 0;2022.09.04;;;; -   € ;
6;;CAPSICUM CORNO WHITE I 10*500GR;GHU;VILLAFRUT;WIEN;MONDAY;;€ 10,00;;CAJA;;;;;2022.09.04;FELSŐPAKONY;EX002;S.T.I;SYK 858 / WGJ 368;€ 560;2022.09.05;-€ 560;;; -   € ;   
6;;CAPSICUM PALERMO 12*400GR;GHU;VILLAFRUT;WIEN;MONDAY;;;;;;;;;2022.09.04;FELSŐPAKONY;EX002;S.T.I;SYK 858 / WGJ 368;€ 560;2022.09.05;;;; -   € ;   
23;;KAUFLAND ROMÁNIA;KOPFSALAT;KOPFSALAT;KAUFLAND ROMÁNIA;MONDAY;;;;;;;;;2022.09.04;FELSŐPAKONY;EX004;LIVIU;BH 78 CDL / BH 83 CDL;€ 0;2022.09.05;€ 0;;; -   € ;   
2;;CAPSICUM PALERMO 12*400GR;KOPFSALAT;KOPFSALAT;KAUFLAND PLOIESTI;MONDAY;;;;;;;;;2022.09.04;FELSŐPAKONY;EX004;LIVIU;BH 78 CDL / BH 83 CDL;€ 0;2022.09.05;;;; -   € ;   
2;;CAPSICUM PALERMO 12*400GR;KOPFSALAT;KOPFSALAT;KAUFLAND TURDA;MONDAY;;;;;;;;;2022.09.04;FELSŐPAKONY;EX004;LIVIU;BH 78 CDL / BH 83 CDL;€ 0;2022.09.05;;;; -   € ;   
4;;KAUFLAND ROMANIA;KOPFSALAT;KOPFSALAT;KAUFLAND ROMANIA;WEDNESDAY ;;;;;;;;;2022.09.05;BARCELONA;LOG003;KÓNYA;RRF 231 / WDA 626;€ 2 700;2022.09.07;-€ 3 000;;; -   € ;   
1;;SPAR SLO 001;KOPFSALAT;KOPFSALAT;SPAR SLO 001;WEDNESDAY MORNING;;;;;€ 8,00; € 15,00 ;DG69;;2022.09.05;BARCELONA;LOG003;KÓNYA;RRF 231 / WDA 626;€ 2 700;2022.09.07;;;; -   € ;   
1;;SPAR SLO;AGESCO;AGESCO;SPAR SLO;WEDNESDAY MORNING;;;;;€ 8,00; € 15,00 ;DG69;;2022.09.05;BARCELONA;LOG003;KÓNYA;RRF 231 / WDA 626;€ 2 700;2022.09.07;;;; -   € ;   
2;;SPAR SLO;GRUPO NATURAL;GRUPO NATURAL;SPAR SLO;WEDNESDAY MORNING;;;;;€ 16,00; € 30,00 ;DG69;;2022.09.05;BARCELONA;LOG003;KÓNYA;RRF 231 / WDA 626;€ 2 700;2022.09.07;;;; -   € ;   
1;;SPAR CRO 001;KOPFSALAT;KOPFSALAT;SPAR CRO 001;WEDNESDAY MORNING;;;;;€ 0,00; € -   ;SPAR;;2022.09.05;BARCELONA;LOG003;KÓNYA;RRF 231 / WDA 626;€ 2 700;2022.09.07;;;; -   € ;   
12;;SPAR CRO;CASAS ROYES;CASAS ROYES;SPAR CRO;WEDNESDAY MORNING;;;;;€ 0,00; € -   ;SPAR;;2022.09.05;BARCELONA;LOG003;KÓNYA;RRF 231 / WDA 626;€ 2 700;2022.09.07;;;; -   € ;   
1;;SPAR CRO;AGESCO;AGESCO;SPAR CRO;WEDNESDAY MORNING;;;;;€ 0,00; € -   ;SPAR;;2022.09.05;BARCELONA;LOG003;KÓNYA;RRF 231 / WDA 626;€ 2 700;2022.09.07;;;; -   € ;   
1;;SPAR HU BICSKE V/ 3150;AGESCO;AGESCO;SPAR HU BICSKE V/ 3150;WEDNESDAY NIGHT;;;;;;;;;2022.09.05;BARCELONA;LOG003;KÓNYA;RRF 231 / WDA 626;€ 2 700;2022.09.07;;;; -   € ;   
2;;SPAR HU ÜLLŐ V/ 3149;AGESCO;AGESCO;SPAR HU ÜLLŐ V/ 3149;WEDNESDAY NIGHT;;;;;;;;;2022.09.05;BARCELONA;LOG003;KÓNYA;RRF 231 / WDA 626;€ 2 700;2022.09.07;;;; -   € ;   
2;;SPAR HU BICSKE V/ 3151;AGESCO;AGESCO;SPAR HU BICSKE V/ 3151; WEDNESDAY NIGHT ;;;;;;;;;2022.09.05;BARCELONA;LOG003;KÓNYA;RRF 231 / WDA 626;€ 2 700;2022.09.07;;;; -   € ;   
3;;SPAR HU ÜLLŐ V/ 3152;AGESCO;AGESCO;SPAR HU ÜLLŐ V/ 3152;WEDNESDAY NIGHT;;;;;;;;;2022.09.05;BARCELONA;LOG003;KÓNYA;RRF 231 / WDA 626;€ 2 700;2022.09.07;;;; -   € ;   
6;;CAPSICUM CORNO WHITE I 10*500GR;GHU;VILLAFRUT;WIEN;WEDNESDAY;;€ 10,00;;CAJA;;;;;2022.09.06;FELSŐPAKONY;EX003;FER TRANS;MHM 024 / WEM 703;€ 300;2022.09.07;-€ 300;;; -   € ;   
15;;CAPSICUM;KOPFSALAT;KOPFSALAT;PLOIESTI;;;;;;;;;;2022.09.07;FELSŐPAKONY;EX005;LIVIU;BH 78 CDL / BH 83 CDL ;€ 0;2022.09.08;€ 0;;; -   € ;   
14;;CAPSICUM;KOPFSALAT;KOPFSALAT;TURDA;;;;;;;;;;2022.09.07;FELSŐPAKONY;EX005;LIVIU;BH 78 CDL / BH 83 CDL ;€ 0;2022.09.08;;;; -   € ;   
;12;KÓNYA;KÓNYA;KÓNYA;;;;;;;;;;;2022.09.07;BARCELONA;GHU 003;KÓNYA;SFB 845 / WEH 571;€ 1 560;2022.09.09;-€ 1 560;;; -   € ;   
1;;SPAR SLO 002;KOPFSALAT;KOPFSALAT;SPAR SLO 002;FRIDAY MORNING;;;;;€ 8,00; € 20,00 ;DG69;;2022.09.07;BARCELONA;GHU 003;KÓNYA;SFB 845 / WEH 571;€ 1 560;2022.09.09;;;; -   € ;   
2;1;SPAR SLO;GRUPO NATURAL;GRUPO NATURAL;SPAR SLO;FRIDAY MORNING;;;;;€ 24,00; € 60,00 ;DG69;;2022.09.07;BARCELONA;GHU 003;KÓNYA;SFB 845 / WEH 571;€ 1 560;2022.09.09;;;; -   € ;   
1;;SPAR SLO;AGESCO;AGESCO;SPAR SLO;FRIDAY MORNING;;;;;€ 8,00; € 20,00 ;DG69;;2022.09.07;BARCELONA;GHU 003;KÓNYA;SFB 845 / WEH 571;€ 1 560;2022.09.09;;;; -   € ;   
1;;SPAR HU BICSKE V/ 3161;AGESCO;AGESCO;SPAR HU BICSKE V/ 3161;SATURDAY NIGHT;;;;;;;;;2022.09.07;BARCELONA;GHU 003;KÓNYA;SFB 845 / WEH 571;€ 1 560;2022.09.09;;;; -   € ;   
2;;SPAR HU ÜLLŐ V/ 3160;AGESCO;AGESCO;SPAR HU ÜLLŐ V/ 3160;SATURDAY NIGHT;;;;;;;;;2022.09.07;BARCELONA;GHU 003;KÓNYA;SFB 845 / WEH 571;€ 1 560;2022.09.09;;;; -   € ;   
1;;SPAR HU BICSKE V/ 3162;AGESCO;AGESCO;SPAR HU BICSKE V/ 3162;SATURDAY NIGHT;;;;;;;;;2022.09.07;BARCELONA;GHU 003;KÓNYA;SFB 845 / WEH 571;€ 1 560;2022.09.09;;;; -   € ;   
2;;SPAR HU ÜLLŐ V/ 3163;AGESCO;AGESCO;SPAR HU ÜLLŐ V/ 3163;SATURDAY NIGHT;;;;;;;;;2022.09.07;BARCELONA;GHU 003;KÓNYA;SFB 845 / WEH 571;€ 1 560;2022.09.09;;;; -   € ;   
2;;MELON CANTALOUP;HISPA;GHU;GHUBU/GHUSZ;WEDNESDAY UP BARCELONA;;;;;€ 10,00; € -   ;HIS002-038/012300024;1;2022.09.07;BARCELONA;GHU 003;KÓNYA;SFB 845 / WEH 571;€ 1 560;2022.09.09;;;; -   € ;   
;3;APRICOT LOOSE 5KG;KOPFSALAT;GHU;ALDI;;;;;;;;;;2022.09.07;BARCELONA;GHU 003;KÓNYA;SFB 845 / WEH 571;€ 1 560;2022.09.09;;;; -   € ;   
22;;KAUFLAND ROMÁNIA;KOPFSALAT;KOPFSALAT;KAUFLAND ROMÁNIA;;;;;;;;;;2022.09.05;POLSKA;H005;KÓNYA;PJZ 004 / WBF 820;€ 1 500;2022.09.06;-€ 1 500;;; -   € ;   
1;;BLUEBERRY  4 KG;GAVA POLSKA;GHU;ALDI;;;€ 4,70;;KG;;;;;2022.09.05;POLSKA;H005;KÓNYA;PJZ 004 / WBF 820;€ 1 500;2022.09.06;;;; -   € ;   
8;;TOMATO LONGLIFE;GAVA POLSKA;GHU;;;;€ 0,25;;KG;;;;;2022.09.05;POLSKA;H005;KÓNYA;PJZ 004 / WBF 820;€ 1 500;2022.09.06;;;; -   € ;   
2;;CAPSICUM KAPIA;GAVA POLSKA;GHU;;;;€ 1,35;;KG;;;;;2022.09.05;POLSKA;H005;KÓNYA;PJZ 004 / WBF 820;€ 1 500;2022.09.06;;;; -   € ;   
1;;SPAR CRO 002;KOPFSALAT;KOPFSALAT;SPAR CRO 002;FRIDAY MORNING;;;;;;;;;2022.09.06;LERIDA / BARCELONA;LOG004;KÓNYA;RRJ 470 / WFK 203;€ 2 600;2022.09.09;-€ 3 000;;; -   € ;   
1;;SPAR CRO;AGESCO;AGESCO;SPAR CRO;FRIDAY MORNING;;;;;;;;;2022.09.06;LERIDA / BARCELONA;LOG004;KÓNYA;RRJ 470 / WFK 203;€ 2 600;2022.09.09;;;; -   € ;   
10;;SPAR CRO;GRUPO NATURAL;GRUPO NATURAL;SPAR CRO;FRIDAY MORNING;;;;;;;;;2022.09.06;LERIDA / BARCELONA;LOG004;KÓNYA;RRJ 470 / WFK 203;€ 2 600;2022.09.09;;;; -   € ;   
18;;SPAR CRO;CASAS ROYES;CASAS ROYES;SPAR CRO;FRIDAY MORNING;;;;;;;;;2022.09.06;LERIDA / BARCELONA;LOG004;KÓNYA;RRJ 470 / WFK 203;€ 2 600;2022.09.09;;;; -   € ;   
;2;CORD;CORD;CORD;;;;;;;€ 10,00;;KOPLOGISTIC;;2022.09.09;BARCELONA;LOG005;KÓNYA;SFB 844 / WEW 305;€ 2 700;2022.09.12;-€ 3 000;;; -   € ;   
8;;KAUFLAND ROMANIA 007;KOPFSALAT;KOPFSALAT;KAUFLAND ROMANIA 007;TUESDAY;;;;;;;;;2022.09.09;BARCELONA;LOG005;KÓNYA;SFB 844 / WEW 305;€ 2 700;2022.09.12;;;; -   € ;   
2;;SPAR SLO ;AGESCO;AGESCO;SPAR SLO;MONDAY MORNING;;;;;€ 8,00; € 16,67 ;DG69;;2022.09.09;BARCELONA;LOG005;KÓNYA;SFB 844 / WEW 305;€ 2 700;2022.09.12;;;; -   € ;   
5;;SPAR SLO;GRUPO NATURAL;GRUPO NATURAL;SPAR SLO;MONDAY MORNING;;;;;€ 40,00; € 83,33 ;DG69;;2022.09.09;BARCELONA;LOG005;KÓNYA;SFB 844 / WEW 305;€ 2 700;2022.09.12;;;; -   € ;   
1;;SPAR CRO 003;KOPFSALAT;KOPFSALAT;SPAR CRO 003;MONDAY MORNING;;;;;€ 0,00; € -   ;SPAR;;2022.09.09;BARCELONA;LOG005;KÓNYA;SFB 844 / WEW 305;€ 2 700;2022.09.12;;;; -   € ;   
3;;SPAR CRO ;CASAS ROYES;CASAS ROYES;SPAR CRO ;MONDAY MORNING;;;;;€ 0,00; € -   ;SPAR;;2022.09.09;BARCELONA;LOG005;KÓNYA;SFB 844 / WEW 305;€ 2 700;2022.09.12;;;; -   € ;   
1;;SPAR CRO;AGESCO;AGESCO;SPAR CRO;MONDAY MORNING;;;;;€ 0,00; € -   ;SPAR;;2022.09.09;BARCELONA;LOG005;KÓNYA;SFB 844 / WEW 305;€ 2 700;2022.09.12;;;; -   € ;   
1;;SPAR CRO;GRUPO NATURAL;GRUPO NATURAL;SPAR CRO;MONDAY MORNING ;;;;;€ 0,00; € -   ;SPAR;;2022.09.09;BARCELONA;LOG005;KÓNYA;SFB 844 / WEW 305;€ 2 700;2022.09.12;;;; -   € ;   
1,5;;SPAR HU BICSKE V/3170;AGESCO;AGESCO;SPAR HU BICSKE V/3170;MONDAY NIGHT;;;;;;;;;2022.09.09;BARCELONA;LOG005;KÓNYA;SFB 844 / WEW 305;€ 2 700;2022.09.12;;;; -   € ;   
3;;SPAR HU ÜLLŐ V/3169 ;AGESCO;AGESCO;SPAR HU ÜLLŐ V/3169;MONDAY NIGHT;;;;;;;;;2022.09.09;BARCELONA;LOG005;KÓNYA;SFB 844 / WEW 305;€ 2 700;2022.09.12;;;; -   € ;   
2,5;;SPAR HU BICSKE V/3172;AGESCO;AGESCO;SPAR HU BICSKE V/3172;MONDAY NIGHT;;;;;;;;;2022.09.09;BARCELONA;LOG005;KÓNYA;SFB 844 / WEW 305;€ 2 700;2022.09.12;;;; -   € ;   
2;;SPAR HU ÜLLŐ V/3171;AGESCO;AGESCO;SPAR HU ÜLLŐ V/3171;MONDAY NIGHT;;;;;;;;;2022.09.09;BARCELONA;LOG005;KÓNYA;SFB 844 / WEW 305;€ 2 700;2022.09.12;;;; -   € ;   
;6;KÓNYA;KÓNYA;KÓNYA;;;;;;;;;;;2022.09.09;BARCELONA;GHU 004;KÓNYA;TBT 657 / WEH 535;€ 2 230;2022.09.11;-€ 2 230;;; -   € ;   
12;;KAUFLAND ROMANIA 008;KOPFSALAT;KOPFSALAT;KAUFLAND ROMANIA 008;TUESDAY;;;;;;;;;2022.09.09;BARCELONA;GHU 004;KÓNYA;TBT 657 / WEH 535;€ 2 230;2022.09.11;;;; -   € ;   
2;;PARAGUAYO 5 KG;FRUBALMED;GHU;ALDI;THURSDAY UP LERIDA; PPREMIUM ;€ 1,25;;KG;€ 0,00; € -   ;FRU004-147/AL22;1;2022.09.09;BARCELONA;GHU 004;KÓNYA;TBT 657 / WEH 535;€ 2 230;2022.09.11;;;; -   € ;   
1;;PARAGUAYO 5 KG ;FRUBALMED;GHU;ALDI;THURSDAY UP LERIDA; PPREMIUM ;€ 1,05;;KG;€ 0,00; € -   ;FRU004-147/AL22;1;2022.09.09;BARCELONA;GHU 004;KÓNYA;TBT 657 / WEH 535;€ 2 230;2022.09.11;;;; -   € ;   
;1;PEAR;KOPFSALAT;GHU;ALDI;;;;;;;;;;2022.09.09;BARCELONA;GHU 004;KÓNYA;TBT 657 / WEH 535;€ 2 230;2022.09.11;;;; -   € ;   
;2;PARAGUAYO LOOSE;KOPFSALAT;GHU;ALDI;;;;;;;;;;2022.09.09;BARCELONA;GHU 004;KÓNYA;TBT 657 / WEH 535;€ 2 230;2022.09.11;;;; -   € ;   
;1;APRICOT LOOSE;KOPFSALAT;GHU;ALDI;;;;;;;;;;2022.09.09;BARCELONA;GHU 004;KÓNYA;TBT 657 / WEH 535;€ 2 230;2022.09.11;;;; -   € ;   
;2;NECTARIN YELLOW LOOSE;KOPFSALAT;GHU;ALDI;;;;;;;;;;2022.09.09;BARCELONA;GHU 004;KÓNYA;TBT 657 / WEH 535;€ 2 230;2022.09.11;;;; -   € ;   
;1;MANGO;KOPFSALAT;GHU;ALDI;;;;;;;;;;2022.09.09;BARCELONA;GHU 004;KÓNYA;TBT 657 / WEH 535;€ 2 230;2022.09.11;;;; -   € ;   
;1;CAPSICUM PALERMO STD;KOPFSALAT;GHU;ALDI;;;;;;;;;;2022.09.09;BARCELONA;GHU 004;KÓNYA;TBT 657 / WEH 535;€ 2 230;2022.09.11;;;; -   € ;   
;;CAPSICUM PADROON 3#;KOPFSALAT;GHU;;;;;;;;;;;2022.09.09;BARCELONA;GHU 004;KÓNYA;TBT 657 / WEH 535;€ 2 230;2022.09.11;;;; -   € ;   
1;;SPAR SLO 003;KOPFSALAT;KOPFSALAT;SPAR SLO 003;WEDNESDAY MORNING;;;;;€ 58,00; € 60,00 ;DG69;;2022.09.12;BARCELONA;GHU 005;KÓNYA;SHB 850 / WEW 302;€ 2 700;2022.09.14;-€ 3 000;;; -   € ;   
1;;SPAR SLO;AGESCO;AGESCO;SPAR SLO;WEDNESDAY MORNING;;;;;€ 0,00; € -   ;;;2022.09.12;BARCELONA;GHU 005;KÓNYA;SHB 850 / WEW 302;€ 2 700;2022.09.14;;;; -   € ;
1;;SPAR CRO 004;KOPFSALAT;KOPFSALAT;SPAR CRO 004;WEDNESDAY MORNING;;;;;€ 0,00; € -   ;SPAR;;2022.09.12;BARCELONA;GHU 005;KÓNYA;SHB 850 / WEW 302;€ 2 700;2022.09.14;;;; -   € ;   
3;;SPAR CRO;CASAS ROYES;CASAS ROYES;SPAR CRO;WEDNESDAY MORNING;;;;;€ 0,00; € -   ;SPAR;;2022.09.12;BARCELONA;GHU 005;KÓNYA;SHB 850 / WEW 302;€ 2 700;2022.09.14;;;; -   € ;   
1;;SPAR CRO;AGESCO;AGESCO;SPAR CRO;WEDNESDAY MORNING;;;;;€ 0,00; € -   ;SS;;2022.09.12;BARCELONA;GHU 005;KÓNYA;SHB 850 / WEW 302;€ 2 700;2022.09.14;;;; -   € ;   
2;;SPAR HU ÜLLŐ;CASAS ROYES;CASAS ROYES;SPAR HU ÜLLŐ;WEDNESDAY NIGHT;;;;;;;;;2022.09.12;BARCELONA;GHU 005;KÓNYA;SHB 850 / WEW 302;€ 2 700;2022.09.14;;;; -   € ;   
1;;SPAR HU BICSKE;CASAS ROYES;CASAS ROYES;SPAR HU BICSKE;WEDNESDAY NIGHT;;;;;;;;;2022.09.12;BARCELONA;GHU 005;KÓNYA;SHB 850 / WEW 302;€ 2 700;2022.09.14;;;; -   € ;   
1;;SPAR HU BICSKE V/ 3180;AGESCO;AGESCO;SPAR HU BICSKE V/ 3180;WEDNESDAY NIGHT;;;;;;;;;2022.09.12;BARCELONA;GHU 005;KÓNYA;SHB 850 / WEW 302;€ 2 700;2022.09.14;;;; -   € ;   
2;;SPAR HU ÜLLŐ V/ 3178;AGESCO;AGESCO;SPAR HU ÜLLŐ V/ 3178;WEDNESDAY NIGHT;;;;;;;;;2022.09.12;BARCELONA;GHU 005;KÓNYA;SHB 850 / WEW 302;€ 2 700;2022.09.14;;;; -   € ;   
2;;SPAR HU BICSKE V/ 3179;AGESCO;AGESCO;SPAR HU BICSKE V/ 3179;WEDNESDAY NIGHT;;;;;;;;;2022.09.12;BARCELONA;GHU 005;KÓNYA;SHB 850 / WEW 302;€ 2 700;2022.09.14;;;; -   € ;   
3;;SPAR HU ÜLLŐ V/ 3181;AGESCO;AGESCO;SPAR HU ÜLLŐ V/ 3181;WEDNESDAY NIGHT;;;;;;;;;2022.09.12;BARCELONA;GHU 005;KÓNYA;SHB 850 / WEW 302;€ 2 700;2022.09.14;;;; -   € ;   
