N° Euro Palets;N° Normal Palets;Products;Reference;Customer;Destination;Comment;Gross weight (kg);Price (EUR);Price BCN (EUR);Unit;Reloading/plt;Transport BCN/plt;Albarán N°;Car n.;Loading date;Loading place;Order number;Transport company;Plate number;Transport price;Arrival date;Transport cost;Invoice amount;Payment date;Open invoices;Paid invoices;;;;;;;;;;;
2;;SPAR HU BICSKE V/2956;AGESCO;AGESCO;SPAR HU BICSKE V/2956;SATURDAY NIGHT;;;;;;;;;2021.08.31;LERIDA;GHU 001;SERGIO;SB 21 HRM / SB 01 HRM;€ 2 400;2021.09.03;;;; -   € ;   ;;;;;;;;;;;
3;;SPAR HU ÜLLŐ V/2955;AGESCO;AGESCO;SPAR HU ÜLLŐ V/2955;SATURDAY NIGHT;;;;;;;;;2021.08.31;LERIDA;GHU 001;SERGIO;SB 21 HRM / SB 01 HRM;€ 2 400;2021.09.03;;;; -   € ;   ;;;;;;;;;;;
5;;SPAR HU ÜLLŐ;CASAS ROYES;CASAS ROYES;SPAR HU ÜLLŐ;SATURDAY NIGHT;;;;;;;;;2021.08.31;LERIDA;GHU 001;SERGIO;SB 21 HRM / SB 01 HRM;€ 2 400;2021.09.03;;;; -   € ;   ;;;;;;;;;;;
;1;PARAGUAYO LOOSE;KOPFSALAT;GHU;ALDI;;;;;;;;;;2021.08.31;LERIDA;GHU 001;SERGIO;SB 21 HRM / SB 01 HRM;€ 2 400;2021.09.03;;;; -   € ;   ;;;;;;;;;;;
;2;NECTARIN 1 LAYER;KOPFSALAT;GHU;ALDI/GHUBU/GHUSZ;;;;;;;;;;2021.08.31;LERIDA;GHU 001;SERGIO;SB 21 HRM / SB 01 HRM;€ 2 400;2021.09.03;;;; -   € ;   ;;;;;;;;;;;
;5;APRICOT LOOSE;KOPFSALAT;GHU;ALDI/GHUBU/GHUSZ;;;;;;;;;;2021.08.31;LERIDA;GHU 001;SERGIO;SB 21 HRM / SB 01 HRM;€ 2 400;2021.09.03;;;; -   € ;   ;;;;;;;;;;;
6;;SPAR HU ÜLLŐ;CASAS ROYES;CASAS ROYES;SPAR HU ÜLLŐ;SATURDAY NIGHT;;;;;;;;;2021.08.31;LERIDA;H003;KÓNYA;RCG 083 / WED 152;€ 2 200;2021.09.02;;;; -   € ;   ;;;;;;;;;;;
5;;NECTARIN 10*1KG;FRUBALMED;GHU;ALDI;TUESDAY UP LERIDA;;€ 0,95;;PZS;;;FRU152-169/AL21;;2021.08.31;LERIDA;H003;KÓNYA;RCG 083 / WED 152;€ 2 200;2021.09.02;;;; -   € ;   ;;;;;;;;;;;
3;;PEACH 10*1KG;FRUBALMED;GHU;ALDI;TUESDAY UP LERIDA;;€ 0,90;;PZS;;;FRU152-169/AL21;;2021.08.31;LERIDA;H003;KÓNYA;RCG 083 / WED 152;€ 2 200;2021.09.02;;;; -   € ;   ;;;;;;;;;;;
2;;NECTARIN 7KG;FRUBALMED;GHU;ALDI;TUESDAY UP LERIDA;;€ 1,35;;KG;;;FRU152-169/AL21;;2021.08.31;LERIDA;H003;KÓNYA;RCG 083 / WED 152;€ 2 200;2021.09.02;;;; -   € ;   ;;;;;;;;;;;
2;;PEACH 7KG;FRUBALMED;GHU;ALDI;TUESDAY UP LERIDA;;€ 1,15;;KG;;;FRU152-169/AL21;;2021.08.31;LERIDA;H003;KÓNYA;RCG 083 / WED 152;€ 2 200;2021.09.02;;;; -   € ;   ;;;;;;;;;;;
;2;PEAR 5KG;FRUBALMED;GHU;ALDI;TUESDAY UP LERIDA;;€ 0,50;;KG;;;FRU152-169/AL21;;2021.08.31;LERIDA;H003;KÓNYA;RCG 083 / WED 152;€ 2 200;2021.09.02;;;; -   € ;   ;;;;;;;;;;;
;10;PEAR 9KG;FRUBALMED;GHU;ALDI;TUESDAY UP LERIDA;;€ 0,75;;KG;;;FRU152-169/AL21;;2021.08.31;LERIDA;H003;KÓNYA;RCG 083 / WED 152;€ 2 200;2021.09.02;;;; -   € ;   ;;;;;;;;;;;
;17;ASAFAMA;LEMON;GHU;ALDI;WEDNESDAY UP BARCELONA;;€ 1,10;;KG;;;AZA005-FT9/1453;;2021.09.01;BARCELONA;H004;KÓNYA;SHB 850 / WEW 304;€ 2 200;2021.09.03;-€ 2 500;;; -   € ;   ;;;;;;;;;;;
2;;SPAR SLO;AGESCO;AGESCO;SPAR SLO;FRIDAY MORNING;;;;;€ 0,00; € -   ;SPAR;;2021.09.01;BARCELONA;LOG003;FER TRANS;UZT 002 / WBW 149;€ 2 300;2021.09.04;-€ 2 300;;; -   € ;   ;;;;;;;;;;;
19;;SPAR SLO;GRUPO NATURAL;GRUPO NATURAL;SPAR SLO;FRIDAY MORNING;;;;;€ 0,00; € -   ;SPAR;;2021.09.01;BARCELONA;LOG003;FER TRANS;UZT 002 / WBW 149;€ 2 300;2021.09.04;;;; -   € ;   ;;;;;;;;;;;
1;;DG69 SLO;GRUPO NATURAL;GRUPO NATURAL;DG69 SLO;FRIDAY;;;;;€ 0,00; € -   ;DG69;;2021.09.01;BARCELONA;LOG003;FER TRANS;UZT 002 / WBW 149;€ 2 300;2021.09.04;;;; -   € ;   ;;;;;;;;;;;
1;;DG69 SLO;DG69;DG69;DG69 SLO;FRIDAY;;;;;€ 0,00; € -   ;DG69;;2021.09.01;BARCELONA;LOG003;FER TRANS;UZT 002 / WBW 149;€ 2 300;2021.09.04;;;; -   € ;   ;;;;;;;;;;;
9;;SPAR HU BICSKE ;CASAS ROYES;CASAS ROYES;SPAR HU BICSKE ;SATURDAY NIGHT;;;;;;;;;2021.09.01;BARCELONA;LOG003;FER TRANS;UZT 002 / WBW 149;€ 2 300;2021.09.04;;;; -   € ;   ;;;;;;;;;;;
1;;SPAR HU ÜLLŐ;CASAS ROYES;CASAS ROYES;SPAR HU ÜLLŐ;SATURDAY NIGHT;;;;;;;;;2021.09.01;BARCELONA;LOG003;FER TRANS;UZT 002 / WBW 149;€ 2 300;2021.09.04;;;; -   € ;   ;;;;;;;;;;;
